Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,rotten
"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",Won 3 Oscars. Another 197 wins & 239 nominations.,"$27,806,908.00",USA,28 Feb 2017,Barry Jenkins,Drama,English,99,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_SX300.jpg,A24 Films,R,18 Nov 2016,True,111 min,Moonlight,movie,http://moonlight.movie/,"Barry Jenkins (screenplay), Tarell Alvin McCraney (story by)",2016,tt4975722,7.6,"122,516",98
"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",Won 2 Oscars. Another 116 wins & 132 nominations.,N/A,"USA, Canada",23 Feb 2016,Tom McCarthy,"Crime, Drama, History",English,93,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_SX300.jpg,Open Road Films,R,20 Nov 2015,True,128 min,Spotlight,movie,http://SpotlightTheFilm.com,"Josh Singer, Tom McCarthy",2015,tt1895587,8.1,"258,883",96
"Michael Keaton, Emma Stone, Kenny Chin, Jamahl Garrison-Lowe",Won 4 Oscars. Another 188 wins & 271 nominations.,N/A,USA,17 Feb 2015,Alejandro González Iñárritu,"Comedy, Drama, Romance",English,88,"Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown.",https://images-na.ssl-images-amazon.com/images/M/MV5BODAzNDMxMzAxOV5BMl5BanBnXkFtZTgwMDMxMjA4MjE@._V1_SX300.jpg,Fox Searchlight,R,14 Nov 2014,True,119 min,Birdman or (The Unexpected Virtue of Ignorance),movie,http://www.birdmanthemovie.com/,"Alejandro González Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Armando Bo, Raymond Carver (play)",2014,tt2562232,7.8,"433,669",91
"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",Won 3 Oscars. Another 234 wins & 320 nominations.,"$50,628,650.00","USA, UK",04 Mar 2014,Steve McQueen,"Biography, Drama, History",English,96,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,Fox Searchlight,R,08 Nov 2013,True,134 min,12 Years a Slave,movie,http://www.foxsearchlight.com/12yearsaslave/,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)",2013,tt2024544,8.1,"482,607",96
"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman",Won 3 Oscars. Another 93 wins & 150 nominations.,"$136,019,448.00",USA,19 Feb 2013,Ben Affleck,"Biography, Drama, History","English, Persian, Arabic",86,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MjI0MjM0NF5BMl5BanBnXkFtZTcwMTYxMTQ1OA@@._V1_SX300.jpg,Warner Bros. Pictures,R,12 Oct 2012,True,120 min,Argo,movie,http://argothemovie.warnerbros.com,"Chris Terrio (screenplay), Tony Mendez (based on a selection from ""The Master of Disguise"" by), Joshuah Bearman (based on the Wired Magazine article ""The Great Escape"" by)",2012,tt1024648,7.7,"477,124",96
"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell",Won 5 Oscars. Another 146 wins & 185 nominations.,"$44,667,095.00","France, USA, Belgium",26 Jun 2012,Michel Hazanavicius,"Comedy, Drama, Romance","English, English, French",89,"A silent movie star meets a young dancer, but the arrival of talking pictures sends their careers in opposite directions.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzk0NzQxMTM0OV5BMl5BanBnXkFtZTcwMzU4MDYyNQ@@._V1_SX300.jpg,The Weinstein Company,PG-13,20 Jan 2012,True,100 min,The Artist,movie,http://theartistmovie.net,Michel Hazanavicius,2011,tt1655442,7.9,"198,801",96
"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal",Won 4 Oscars. Another 102 wins & 190 nominations.,"$138,300,000.00","UK, USA, Australia",19 Apr 2011,Tom Hooper,"Biography, Drama",English,88,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg,The Weinstein Company,R,25 Dec 2010,True,118 min,The King's Speech,movie,http://www.kingsspeech.com/,David Seidler (screenplay),2010,tt1504320,8.0,"529,794",95
"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",Won 6 Oscars. Another 114 wins & 120 nominations.,"$15,700,000.00",USA,12 Jan 2010,Kathryn Bigelow,"Drama, History, Thriller","English, Arabic",94,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzEwNzQ1NjczM15BMl5BanBnXkFtZTcwNTk3MTE1Mg@@._V1_SX300.jpg,Summit Entertainment,R,31 Jul 2009,True,131 min,The Hurt Locker,movie,http://www.thehurtlocker-movie.com/,Mark Boal,2008,tt0887912,7.6,"349,219",98
"Dev Patel, Saurabh Shukla, Anil Kapoor, Raj Zutshi",Won 8 Oscars. Another 143 wins & 120 nominations.,"$141,243,551.00","UK, France, USA",31 Mar 2009,"Danny Boyle, Loveleen Tandan",Drama,"English, Hindi, French",86,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NTA5NzI0N15BMl5BanBnXkFtZTcwMjUxMjYxMg@@._V1_SX300.jpg,Fox Searchlight Pictures,R,25 Dec 2008,True,120 min,Slumdog Millionaire,movie,http://www.foxsearchlight.com/slumdogmillionaire/,"Simon Beaufoy (screenplay), Vikas Swarup (novel)",2008,tt1010048,8.0,"673,828",92
"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",Won 4 Oscars. Another 155 wins & 132 nominations.,"$74,223,625.00",USA,07 Apr 2009,"Ethan Coen, Joel Coen","Crime, Drama, Thriller","English, Spanish",91,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_SX300.jpg,Miramax Films,R,21 Nov 2007,True,122 min,No Country for Old Men,movie,http://www.nocountryforoldmen-themovie.com,"Joel Coen (screenplay), Ethan Coen (screenplay), Cormac McCarthy (novel)",2007,tt0477348,8.1,"652,793",93
